gene	EC-BC-100	EC-BC-101	EC-BC-102	EC-BC-103	EC-BC-104	EC-BC-105	EC-BC-106	EC-BC-107	EC-BC-108	EC-BC-109	EC-BC-110	EC-BC-111	EC-BC-112	EC-BC-113	EC-BC-114	EC-BC-115	EC-BC-116	EC-BC-117	EC-BC-118	EC-BC-119	EC-BC-120	EC-BC-121	EC-BC-122	EC-BC-123	EC-BC-124	EC-BC-125	EC-BC-126	EC-BC-127	EC-BC-130	EC-BC-131	EC-BC-132	EC-BC-133	EC-BC-134	EC-BC-135	EC-BC-136	EC-BC-137	EC-BC-138	EC-BC-139	EC-BC-140	EC-BC-141	EC-BC-142	EC-BC-143	EC-BC-144	EC-BC-97	EC-BC-98	EC-BC-99	EC-FC-145	EC-FC-146	EC-FC-147	EC-FC-148	EC-FC-149	EC-FC-150	EC-FC-151	EC-FC-152	EC-FC-153	EC-FC-154	EC-FC-155	EC-FC-156	EC-FC-157	EC-FC-158	EC-FC-159	EC-FC-160	EC-FC-161	EC-FC-162	EC-FC-163	EC-FC-164	EC-FC-165	EC-FC-166	EC-FC-167	EC-FC-168	EC-FC-169	EC-FC-170	EC-FC-171	EC-FC-172	EC-FC-173	EC-FC-174	EC-FC-175	EC-FC-177	EC-FC-178	EC-FC-179	EC-FC-180	EC-FC-181	EC-FC-182	EC-FC-183	EC-FC-184	EC-FC-185	EC-FC-186	EC-FC-187	EC-FC-188	EC-FC-189	EC-FC-190	EC-FC-191	EC-RMB-195	EC-RMB-196	EC-RMB-200	EC-RMB-204	EC-RMB-210	EC-RMB-212	EC-RMB-215	EC-RMB-216	EC-RMB-217	EC-RMB-221	EC-RMB-222	EC-RMB-228	EC-RMB-233	EC-RMB-235	EC-RMB-237	EC-RMB-238	EC-RMB-242	EC-RMB-244	EC-RMB-246	EC-RMB-247	EC-RMB-252	EC-RMB-253	EC-RMB-254	EC-RMB-255	EC-RMB-257	EC-RMB-260	EC-RMB-261	EC-RMB-263	EC-RMB-268	EC-RMB-270	EC-RMB-273	EC-RMB-274	EC-RMB-276	EC-RMB-277	EC-RMB-278	EC-RMB-280	EC-RMB-284	EC-RMB-287	EC-RMC-193	EC-RMC-194	EC-RMC-197	EC-RMC-199	EC-RMC-201	EC-RMC-202	EC-RMC-205	EC-RMC-206	EC-RMC-207	EC-RMC-208	EC-RMC-211	EC-RMC-213	EC-RMC-214	EC-RMC-218	EC-RMC-219	EC-RMC-223	EC-RMC-224	EC-RMC-226	EC-RMC-227	EC-RMC-229	EC-RMC-231	EC-RMC-232	EC-RMC-234	EC-RMC-236	EC-RMC-239	EC-RMC-240	EC-RMC-241	EC-RMC-245	EC-RMC-249	EC-RMC-250	EC-RMC-251	EC-RMC-256	EC-RMC-258	EC-RMC-262	EC-RMC-265	EC-RMC-266	EC-RMC-267	EC-RMC-269	EC-RMC-271	EC-RMC-272	EC-RMC-275	EC-RMC-279	EC-RMC-281	EC-RMC-282	EC-RMC-283	EC-RMC-285	EC-WW-49	EC-WW-50	EC-WW-52	EC-WW-55	EC-WW-56	EC-WW-57	EC-WW-58	EC-WW-59	EC-WW-60	EC-WW-62	EC-WW-63	EC-WW-64	EC-WW-65	EC-WW-66	EC-WW-68	EC-WW-69	EC-WW-70	EC-WW-72	EC-WW-74	EC-WW-75	EC-WW-76	EC-WW-78	EC-WW-79	EC-WW-80	EC-WW-82	EC-WW-83	EC-WW-84	EC-WW-85	EC-WW-86	EC-WW-87	EC-WW-88	EC-WW-89	EC-WW-90	EC-WW-91	EC-WW-92	EC-WW-93	EC-WW-95	EC-WeW-1	EC-WeW-10	EC-WeW-11	EC-WeW-12	EC-WeW-13	EC-WeW-14	EC-WeW-15	EC-WeW-16	EC-WeW-17	EC-WeW-18	EC-WeW-19	EC-WeW-2	EC-WeW-20	EC-WeW-21	EC-WeW-22	EC-WeW-23	EC-WeW-24	EC-WeW-26	EC-WeW-27	EC-WeW-28	EC-WeW-29	EC-WeW-3	EC-WeW-31	EC-WeW-32	EC-WeW-33	EC-WeW-34	EC-WeW-35	EC-WeW-36	EC-WeW-37	EC-WeW-38	EC-WeW-39	EC-WeW-4	EC-WeW-40	EC-WeW-41	EC-WeW-42	EC-WeW-43	EC-WeW-44	EC-WeW-45	EC-WeW-46	EC-WeW-47	EC-WeW-48	EC-WeW-5	EC-WeW-6	EC-WeW-7	EC-WeW-8	EC-WeW-9
Col(BS512)_1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col(MG828)_1	0	2	0	0	2	5	0	0	3	0	0	1	0	1	0	1	1	0	0	1	1	1	1	1	2	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	3	0	2	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	1	2	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col(Ye4449)_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col(pHAD28)_1	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	1	3	1	2	0	0	3	2	2	0	0	0	0	3	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	3	3	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	1	2	0	1	1	0	0	0	1	2	1	0	0	2	1	2	0	0	0	0	1	0	0	0	1	3	0	0	0	1	0	1	0	0	0	0	2	0	3	0	0	2	2	2	1	1	1	1	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
Col156_1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col440II_1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col440I_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ColE10_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ColRNAI_1	0	1	0	0	1	1	0	2	1	1	0	0	1	0	0	1	0	0	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	0	0	1	1	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	2	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ColpEC648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
